"State","Year","Avg ASC-1 State Rate","Median ASC-1 State Rate","Avg ASC-2 State Rate","Median ASC-2 State Rate","Avg ASC-3 State Rate","Median ASC-3 State Rate","Avg ASC-4 State Rate","Median ASC-4 State Rate","Avg ASC-9 State Rate","Median ASC-9 State Rate","Avg ASC-11 State Rate","Median ASC-11 State Rate","ASC-12 Better","ASC-12 No Different","ASC-12 Worse","ASC-12 Too Small","Avg ASC-13 State Rate","Median ASC-13 State Rate","Avg ASC-14 State Rate","Median ASC-14 State Rate","ASC-17 Better","ASC-17 No Different","ASC-17 Worse","ASC-17 Too Small","ASC-18 Better","ASC-18 No Different","ASC-18 Worse","ASC-18 Too Small","ASC-19 Better","ASC-19 No Different","ASC-19 Worse","ASC-19 Too Small","Avg ASC-20 State Rate"
DE,2023_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),94.90
FL,2023,0.00,0.00,0.02,0.01,0.00,0.00,0.12,0.10,76.12,90.57,74.77,100.00,0,174,1,15,87.87,100.00,0.31,0.23,0,166,0,91,0,71,0,47,0,144,0,170,N/A (5)
FL,2023_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),77.60
GA,2023,0.00,0.00,0.03,0.00,0.01,0.00,0.09,0.07,85.17,90.31,100.00,100.00,1,69,0,5,87.27,100.00,0.30,0.32,1,71,0,108,0,30,0,13,0,50,1,138,N/A (5)
GA,2023_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),88.30
GU,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,9.93,9.93,N/A (5),N/A (5),0,2,0,0,100.00,100.00,1.16,1.16,0,1,0,1,0,0,0,2,0,1,0,1,N/A (5)
GU,2023_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),88.50
HI,2023,0.01,0.00,0.03,0.04,0.01,0.00,0.08,0.07,85.87,90.32,100.00,100.00,0,10,0,1,65.32,96.83,0.49,0.33,0,6,0,1,0,3,0,2,0,1,0,10,N/A (5)
HI,2023_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),94.50
IA,2023,0.00,0.00,0.02,0.02,0.01,0.00,0.09,0.08,87.10,100.00,100.00,100.00,0,15,0,2,98.84,99.87,0.23,0.19,0,17,0,2,0,6,1,3,0,15,1,5,N/A (5)
IA,2023_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),92.70
ID,2023,0.01,0.00,0.02,0.00,0.01,0.00,0.14,0.06,84.20,88.74,99.67,99.67,0,13,0,4,96.06,99.50,0.22,0.23,0,15,0,8,0,2,0,2,0,8,0,16,N/A (5)
ID,2023_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),80.90
IL,2023,0.01,0.00,0.02,0.01,0.00,0.00,0.13,0.11,76.33,92.68,100.00,100.00,0,49,0,9,83.55,99.51,1.18,0.31,0,66,0,22,0,19,0,13,0,45,2,50,N/A (5)
IL,2023_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),92.20
IN,2023,0.00,0.00,0.02,0.00,0.00,0.00,0.12,0.11,86.74,99.38,99.76,99.25,0,42,1,2,94.91,99.44,0.16,0.09,0,56,0,27,0,16,3,6,0,42,0,39,N/A (5)
IN,2023_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),85.50
KS,2023,0.00,0.00,0.01,0.00,0.01,0.00,0.08,0.06,65.23,93.47,N/A (5),N/A (5),0,23,0,3,77.81,100.00,0.27,0.19,0,18,0,15,0,7,0,11,0,21,0,24,N/A (5)
KS,2023_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),87.10
KY,2023,0.00,0.00,0.01,0.01,0.00,0.00,0.09,0.07,81.30,89.46,N/A (5),N/A (5),0,15,0,0,47.59,100.00,0.21,0.11,0,8,0,11,0,4,0,4,0,14,0,11,N/A (5)
